Macro Região;UF;Região;Município;Código Município;Qtd. Empregos Hospedagem;Qtd. Estabelecimentos Hospedagem;Demanda Internacional;Demanda Doméstica;Cluster 2017 (Categoria)
Nordeste;AL; Quilombos;Mar Vermelho;2704906;0;0;0;3.499;D
Nordeste;AL; Costa dos Corais;Maragogi;2704500;1.226;29;11.432;297.357;B
Nordeste;AL; Região da Caatinga;Maravilha;2704609;0;1;0;0;D
Nordeste;AL;Lagoas e Mares do Sul;Marechal Deodoro;2704708;124;27;1.291;22.032;B
Nordeste;AL; Caminhos do São Francisco;Mata Grande;2705002;0;0;0;2.837;D
Nordeste;AL; Quilombos;Murici;2705507;1;2;0;6.160;D
Nordeste;AL; Região da Caatinga;Olho d'Água das Flores;2705705;0;0;0;0;E
Nordeste;AL; Caminhos do São Francisco;Olho dÁgua do Casado;2705804;0;0;0;0;E
Nordeste;AL;Região da Caatinga;Olivença;2706000;0;0;0;0;E
Nordeste;AL; Caminhos do São Francisco;Palestina;2706208;0;0;0;0;E
Nordeste;AL;Agreste;Palmeira dos Índios;2706307;22;4;0;68.851;D
Nordeste;AL;Caminhos do São Francisco;Pão de Açúcar;2706406;3;2;0;794;D
Nordeste;AL; Costa dos Corais;Paripueira;2706448;54;3;698;936;D
Nordeste;AL; Costa dos Corais;Passo de Camaragibe;2706505;38;3;0;5.238;D
Nordeste;AL;Quilombos;Paulo Jacinto;2706604;0;0;0;903;D
Nordeste;AL; Caminhos do São Francisco;Penedo;2706703;57;10;1.098;103.292;C
Nordeste;AL; Caminhos do São Francisco;Piaçabuçu;2706802;3;4;0;37.076;D
Nordeste;AL;Lagoas e Mares do Sul;Pilar;2706901;0;2;0;0;D
Nordeste;AL;Caminhos do São Francisco;Piranhas;2707107;39;16;256;6.070;C
Nordeste;AL;Região da Caatinga;Poço das Trincheiras;2707206;0;0;0;0;E
Nordeste;AL; Costa dos Corais;Porto Calvo;2707305;16;3;0;0;D
Nordeste;AL;Costa dos Corais;Porto de Pedras;2707404;105;7;0;11.923;C
Nordeste;AL; Caminhos do São Francisco;Porto Real do Colégio;2707503;0;1;0;3.499;D
Nordeste;AL;Quilombos;Quebrangulo;2707602;0;0;0;0;E
Nordeste;AL; Grande Maceió;Rio Largo;2707701;0;2;0;3.411;D
Nordeste;AL;Lagoas e Mares do Sul;Roteiro;2707800;0;0;0;0;E
