UF;REGIAO;MUNICIPIO;CATEGORIA
GO;Região Turística dos Negócios e Tradições;Goiânia;A
GO;Região Turística do Ouro e Cristais;Goiás;C
GO;Região Turística dos Negócios e Tradições;Hidrolândia;D
GO;Região Turística da Estrada de Ferro;Ipameri;D
GO;Região Turística Lagos do Paranaíba;Itarumã;D
GO;Região Turística Lagos do Paranaíba;Itumbiara;B
GO;Região Turística do Ouro e Cristais;Jaraguá;D
GO;Região Turística Pegadas no Cerrado;Jataí;C
GO;Região Turística Lagos do Paranaíba;Lagoa Santa;C
GO;Região Turística da Estrada de Ferro;Leopoldo de Bulhões;D
GO;Região Turística do Ouro e Cristais;Luziânia;C
GO;Região Turística das Águas e Cavernas do Cerrado;Mambaí;E
GO;Região Turística Pegadas no Cerrado;Maurilândia;D
GO;Região Turística Vale da Serra da Mesa;Minaçu;C
GO;Região Turística Pegadas no Cerrado;Mineiros;C
GO;Região Turística das Águas Quentes;Morrinhos;C
GO;Região Turística do Ouro e Cristais;Mossâmedes;D
GO;Região Turística Vale do Araguaia;MUNDO NOVO;D
GO;Região Turística dos Negócios e Tradições;Nerópolis;D
GO;Região Turística Vale da Serra da Mesa;Niquelândia;C
GO;Região Turística Vale do Araguaia;Nova Crixás;D
GO;Região Turística dos Negócios e Tradições;NOVA VENEZA;D
GO;Região Turística da Estrada de Ferro;Orizona;D
GO;Região Turística Vale da Serra da Mesa;Padre Bernardo;C
GO;Região Turística Pegadas no Cerrado;Paraúna;D
GO;Região Turística do Ouro e Cristais;Pilar de Goiás;E
GO;Região Turística Pegadas no Cerrado;Piranhas;D
GO;Região Turística do Ouro e Cristais;Pirenópolis;B
GO;Região Turística da Estrada de Ferro;Pires do Rio;C
GO;Região Turística Vale da Serra da Mesa;Porangatu;C
GO;Região Turística Lagos do Paranaíba;Quirinópolis;C
GO;Região Turística das Águas Quentes;Rio Quente;B
GO;Região Turística Pegadas no Cerrado;Rio Verde;B
GO;Região Turística da Estrada de Ferro;Santa Cruz de Goiás;D
GO;Região Turística Pegadas no Cerrado;Santa Rita do Araguaia;D
GO;Região Turística das Águas e Cavernas do Cerrado;São Domingos;D
GO;Região Turística do Ouro e Cristais;São Francisco de Goiás;E
GO;Região Turística da Chapada dos Veadeiros;São João d'Aliança;D
GO;Região Turística Pegadas no Cerrado;São Luís de Montes Belos;D
GO;Região Turística Vale do Araguaia;São Miguel do Araguaia;C
GO;Região Turística Lagos do Paranaíba;São Simão;C
GO;Região Turística Pegadas no Cerrado;Serranópolis;D
GO;Região Turística da Estrada de Ferro;Silvânia;D
GO;Região Turística das Águas e Cavernas do Cerrado;Simolândia;D
GO;Região Turística da Chapada dos Veadeiros;Teresina de Goiás;D
GO;Região Turística dos Negócios e Tradições;Terezópolis de Goiás;D
GO;Região Turística Lagos do Paranaíba;Três Ranchos;D
GO;Região Turística dos Negócios e Tradições;Trindade;B
GO;Região Turística Pegadas no Cerrado;Turvelândia;E
GO;Região Turística Vale da Serra da Mesa;Uruaçu;C
GO;Região Turística da Estrada de Ferro;Urutaí;D
GO;Região Turística do Ouro e Cristais;Valparaíso de Goiás;C
GO;Região Turística da Estrada de Ferro;Vianópolis;D
MA;Polo Delta das Américas;Água Doce do Maranhão;E
MA;Polo  São Luís;Alcântara;D
MA;Polo Delta das Américas;Araioses;D
MA;Polo Lagos e Campos Floridos;Arari;D
MA;Polo Munin;Axixá;D
MA;Polo Chapada das Mesas;Balsas;C
MA;Polo Serras Guajajara Timbira e Kanela;Barra do Corda;C
MA;Polo Lençóis Maranhenses;Barreirinhas;C
MA;Polo Floresta dos Guarás;Bequimão;D
MA;Polo Munin;Cachoeira Grande;D
MA;Polo Lagos e Campos Floridos;Cajapió;D
MA;Polo Lagos e Campos Floridos;Cantanhede;D
MA;Polo Chapada das Mesas;Carolina;D
MA;Polo Amazônia Maranhense;Carutapera;D
MA;Polo Cocais;Caxias;C
MA;Polo Amazônia Maranhense;Centro Novo do Maranhão;D
MA;Polo Munin;Chapadinha;D
MA;Polo Cocais;Codó;C
MA;Polo Cocais;Coelho Neto;D
MA;Polo Floresta dos Guarás;Cururupu;D
MA;Polo Chapada das Mesas;Estreito;C
MA;Polo Chapada das Mesas;Formosa da Serra Negra;E
MA;Polo Chapada das Mesas;Fortaleza dos Nogueiras;D
MA;Polo Serras Guajajara Timbira e Kanela;Grajaú;C
MA;Polo Floresta dos Guarás;Guimarães;D
MA;Polo Lençóis Maranhenses;Humberto de Campos;D
MA;Polo Munin;Icatu;D
MA;Polo Cocais;Igarapé Grande;D
MA;Polo Chapada das Mesas;Imperatriz;B
MA;Polo Chapada das Mesas;Itinga do Maranhão;D
MA;Polo Serras Guajajara Timbira e Kanela;Jenipapo dos Vieiras;E
MA;Polo Amazônia Maranhense;Luís Domingues;E
MA;Polo Chapada das Mesas;Montes Altos;E
MA;Polo Munin;Morros;D
MA;Polo Delta das Américas;Paulino Neves;E
MA;Polo Cocais;Pedreiras;D
MA;Polo Lagos e Campos Floridos;Penalva;D
MA;Polo Lagos e Campos Floridos;Pindaré-Mirim;D
MA;Polo Lagos e Campos Floridos;Pinheiro;C
MA;Polo Floresta dos Guarás;Porto Rico do Maranhão;E
MA;Polo Lençóis Maranhenses;Primeira Cruz;E
MA;Polo  São Luís;Raposa;D
MA;Polo Chapada das Mesas;Riachão;D
MA;Polo Munin;Rosário;D
MA;Polo Lençóis Maranhenses;Santo Amaro do Maranhão;D
MA;Polo Cocais;São João do Soter;D
MA;Polo  São Luís;São José de Ribamar;D
MA;Polo  São Luís;São Luís;A
MA;Polo Chapada das Mesas;Tasso Fragoso;E
MA;Polo Cocais;Timon;C
MA;Polo Delta das Américas;Tutóia;D
MA;Polo Munin;Vargem Grande;D
MA;Polo Lagos e Campos Floridos;Viana;D
MG;Caminhos do Cerrado;Abadia dos Dourados;D
MG;Lago de Três Marias;Abaeté;D
MG;Montanhas e Fé;Abre Campo;D
MG;Serras de Minas;Acaiaca;E
MG;Mata Atlântica de Minas;Açucena;D
MG;Pedras Preciosas;Água Boa;D
MG;Vale do Jequitinhonha;Águas Formosas;D
MG;Trilhas do Rio Doce;Aimorés;D
MG;Terras Altas da Mantiqueira;Aiuruoca;D
MG;Terras Altas da Mantiqueira;Alagoa;E
MG;Malhas do Sul de Minas;Albertina;E
MG;Serras e Cachoeiras;Além Paraíba;D
MG;Lago de Furnas;Alfenas;C
MG;Trilha dos Inconfidentes;Alfredo Vasconcelos;E
MG;Vale do Jequitinhonha;Almenara;D
MG;Nascentes das Gerais;Alpinópolis;D
MG;Lago de Furnas;Alterosa;D
MG;Pico da Bandeira;Alto Caparaó;D
MG;Pico da Bandeira;Alto Jequitibá;D
MG;Trilhas do Rio Doce;Alvarenga;E
MG;Serras de Minas;Alvinópolis;D
MG;Diamantes;Alvorada de Minas;E
MG;Caminhos Gerais;Andradas;D
MG;Pedras Preciosas;Angelândia;E
MG;Trilha dos Inconfidentes;Antônio Carlos;D
MG;Serra do Brigadeiro;Antônio Prado de Minas;E
MG;Guimarães Rosa;Araçaí;E
MG;Alta Mogiana;Araguari;C
MG;Serras de Ibitipoca;Arantina;D
